claim_id,source_doc,claim_summary,code_reality,classification,decision_required,evidence
CL-23,ADR-93 (superseded by ADR-102),"Owner identity is email/password, structurally separate from customer identity","Superseded within the ADR record itself by ADR-102 (mobile OTP, shared phone identity); code implements the ADR-102 shared-identity model",SUPERSEDED,NO,ADR-102; Phase1 doc02 D2/D3 shared identity
CL-24,ADR-102,Platform Configuration singleton; owner identity becomes mobile OTP shared with customer phone identity,Confirmed: PlatformConfiguration pk=1 singleton; get_or_create_owner_by_phone shared identity,MATCHES_CODE,NO,Phase1 doc03 D2
CL-25,UNIVERSAL_STOREFRONT_BUILDER_V2_SPEC.md,Replace multi-family storefront with ONE universal engine + unified builder + presets; families frozen/archived not deleted,Realized: R4 canonical editor + layout_preset_registry + A8 ready templates; families retired,DESIGN_INTENT_ONLY,NO,Phase2 doc01 H3 (design intent now implemented)
CL-26,STOREFRONT_BUILDER_V2_LEGACY_RETIREMENT_MAP.md,family_registry.py / preset_registry.py to be deleted; replaced by layout_preset_registry,Confirmed: both files absent; layout_preset_registry present,MATCHES_CODE,NO,Phase1/2 D5 confirmed absent
CL-27,project_status 2026-09-20,W5A canonical editor safety: only one canonical mutation path; R3 is rollback only,Confirmed: r4_editor_enabled default True; _require_legacy_editor_active fail-closed,MATCHES_CODE,NO,Phase2 doc01 H3
CL-28,project_status 2026-09-20,"Official branch feature/phase5-design-expansion, HEAD 851181c3...","Different branch/commit than audited 5883a140; documentation Git ref, not the audit baseline",HISTORICAL,NO,Not merged/read; source-freeze respected
CL-29,docs/README.md,Repo layout is backend/ frontend/ docs/ prototypes/ infra/ docker/ scripts/,Actual repo is a flat Django project: apps/ shop_core/ templates/ static/ manage.py; no backend/frontend/infra/docker dirs,CONTRADICTS_CODE,NO,find: no such dirs exist
CL-30,master-ref 5 (PR #19/#20/#21),Foundational multi-tenant PRs numbered #19/#20/#21,SAAS_MIGRATION_PLAN numbers the same foundation PR1-14; internal doc-vs-doc numbering inconsistency (not a code claim),UNVERIFIABLE,NO,doc-vs-doc; not reconcilable against code
CL-31,ADR-1 (content ownership implied) / PR8 plan,Content/navigation/homepage/media ownership is a modeled Store-owned domain (PR 8),"PARTIAL: content models are Store-owned, BUT content has NO write service; dashboard views mutate all content directly (H2)",STALE,YES,Phase2 doc01 H2 - doc implies domain service boundary not present in code
CL-32,SAAS_MIGRATION_PLAN.md,Staged PR1-14; PR12 = non-null enforcement + legacy-path removal; PR13 = PostgreSQL,"Plan; legacy paths (simulate_payment, R3 editor, legacy Transaction) still present/gated in frozen code - PR12 legacy-path removal not fully done",DESIGN_INTENT_ONLY,YES,Phase2 H1/H3 legacy coexistence
